action,life,power,attack,defence,fall.defence_up,liedown.time,airjuggle,sparkno,guard.sparkno,ko.echo,volume,intpersistindex,floatpersistindex,var(21),ignorehitpause,ground.hittime,statetype,add,runjump.back,postype,movecamera,fall,air.velocity,edge,attr,trigger1,color,airjump.fwd,keyctrl,triggerall,"root,palno",walk.fwd,walk.back,player,air.hittime,hitflag,priority,air.type,juggle,x,jump.neu,ctrl,velset,persistent,palno,stand.friction,(gametime % 5),physics,ontop,ground.type,(gametime % 10),height,anim,trigger2,airjump.num,givepower,movehit,run.back,reversal.attr,trigger9,pausemovetime,vfacing,damage,run.fwd,ground.front,forceair,crouch.friction,air.front,ampl,palfx.add,guardflag,airjump.height,mid.pos,type,hitsound,guardsound,backedgedist,freq,helpertype,trigger7,scale,stateno,getpower,time,absolute,value,id,flag,jump.fwd,airguard.velocity,v,movetime,animtype,trigger4,trigger3,trigger5,air.back,facing,under,ground.velocity,movetype,name,movecontact,airjump.neu,unhittable,yaccel,trigger6,ground.back,trigger13,pausetime,animtime,ground.slidetime,teamside,head.pos,roundstate,ownpal,(vel y > 0),slot,trigger12,kill,removeongethit,attack.dist,shadowoffset,removetime,p1stateno,proj.attack.dist,animelem,darken,palfx.time,runjump.fwd,pos,bindtime,random,proj.doscale,statedef,draw.offset,sound,invertall,poweradd,yscale,state,sprpriority,"root,stateno",y,"enemynear,movetype",trigger10,mul,airjump.back,supermovetime,p2stateno,trigger11,trigger8,jump.back,p2defmul,sparkxy,xscale
Data,1000,5000,70,100,50,0,15,2,40,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,16,,,12,,,,,"-5, -60",,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,15,,,,,,"-5, -90",,,,,,,,160,0,,,90,,,,,,,,0,,"0,0",,,,1,,,,,,,,,,,,,,,,1
Velocity,,,,,,,,,,,,,,,,,,,"-2.55,-8.1",,,,,,,,,2.5,,,,5,-2.2,,,,,,,,"0,-8.4",,,,,,,,,,,,,,,,,"-4.5,-3.8",,,,,,"4.6, 0",,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,"0,-8.1",,,,,,,,,,,,,,,,,,,,,,,,,,"4,-8.1",,,,,,,,,,,,,,,,,,-2.55,,,,,-2.55,,,
Movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.85,,,,,,,,,1,,,,,,,,,,,,.82,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0,0",,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NotHitBy,,,,,,,,,,1,,SCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,0,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0,0",,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NotHitBy,,,,,,,,,,1,,SCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0,0",,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeAnim,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"18,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AssertSpecial,,,,,,,,,,,,,,Intro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"0,0",,,,,S,,,,,195,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,2,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CtrlSet,,,,,,,,,,40,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"-0.5,0",,,,,N,,,,,980,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,10,,,2,,,,,,,,,,,,,,
NotHitBy,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NotHitBy,,,,,,,,,,1,,"SCA,NA,SA,HA,NP,SP,HP,NT,ST,HT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
PosSet,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PosSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"21,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,S,,,,,200,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,10,,,2,,,,,,,,,,,,,,
snd,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PlaySnd,,,,,,,,,,,,"15,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1450,,,,,,,,,,,,,,,
1,,,,,,,,s7010,s8000,,,,,,,40,,,,,,,"-1.4,-3",,", NA",0,,,,,,,,,15,MAFD,"3, Hit",High,,,,,,,,,,,,High,,,,,,,,,,,,,"20, 15",,,,,,,,MA,,,HitDef,"s20, 1","s20, 6",,,,,,,,0,,,,,,"-1.9,-.8",,,Light,,,,,,,-4,,,,,,,,,,"12, 12",,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,"-10, -76",
3,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ChangeState,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,0,"0,0",,,,,S,,,,,205,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,10,,,2,,,,,,,,,,,,,,
